Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-05-08,VEDL,EQ,218.15,220.0,221.8,214.1,218.0,217.95,217.28,2699329,58651573485000.0,20842.0,1376444.0,0.5099
2015-05-11,VEDL,EQ,217.95,222.0,233.4,217.75,229.35,230.3,227.94,7737382,176366604810000.0,113876.0,3447755.0,0.4456000000000001
2000-01-03,WIPRO,EQ,2522.4,2724.0,2724.2,2724.0,2724.2,2724.2,2724.17,1599,435594205000.0,,,
2000-01-04,WIPRO,EQ,2724.2,2942.15,2942.15,2942.15,2942.15,2942.15,2942.15,4392,1292192280000.0,,,
2000-01-05,WIPRO,EQ,2942.15,2942.15,3177.55,2715.0,3000.0,2990.1,3063.86,132297,40533895620000.0,,,
2000-01-03,ZEETELE,EQ,1092.55,1175.0,1179.95,1160.0,1179.95,1179.95,1177.03,1261391,148469028020000.0,,,
2000-01-04,ZEETELE,EQ,1179.95,1220.0,1274.35,1183.1,1274.35,1260.65,1228.02,4616547,566921974510000.0,,,
2000-01-05,ZEETELE,EQ,1260.65,1160.55,1317.7,1159.8,1190.95,1176.55,1238.35,8763127,1085177595800000.0,,,
2007-02-28,ZEEL,EQ,238.35,230.0,241.9,210.5,232.5,235.35,232.84,2481079,57770548579999.99,,1760261.0,0.7095
2007-03-01,ZEEL,EQ,235.35,235.0,237.9,222.0,226.5,224.9,224.8,1784382,40112379040000.0,,1269185.0,0.7112999999999999
2007-03-02,ZEEL,EQ,224.9,228.8,229.95,221.2,222.0,222.2,224.7,1656992,37232163275000.0,,890257.0,0.5373
